file,model,source,condition,locality,reference,hypothesis,normalized_ref,normalized_hyp,latency_s,wer,cer,entity_hit
indranagar-quet,whisper,self,quiet,Indiranagar,mera ghar indiranagar mein hai 100 feet road ke paas,"मेरे गार इंद्रानगर में है, अंड्रट फीट रोड के पास।",mera ghar indiranagar mein hai 100 feet road ke paas,mere gara imdranagara mem hai amdrata phita roda ke pasa|,2.754,0.8,0.4423076923076923,1.0
whitefield-quiet,whisper,self,quiet,Whitefield,office whitefield mein hai roz ghanta bhar jaata hoon,"Office Whitefield में है, रोज गंटा बार जाता हूँ",office whitefield mein hai roz ghanta bhar jaata hoon,office whitefield mem hai roja gamta bara jata hu n,1.908,0.7777777777777778,0.20754716981132076,1.0
electroniccity-quite,whisper,self,quiet,Electronic City,haan electronic city phase one mein kaam karta hoon,"हाँ, electronic CT phase 1 main कार्म करता हूँ",haan electronic city phase one mein kaam karta hoon,ha n electronic ct phase 1 main karma karata hu n,1.475,1.0,0.23529411764705882,1.0
Marathahalli-quiet,whisper,self,quiet,Marathahalli,main marathahalli mein rehta hoon bridge ke paas wala area,"मैं इन मरतहली में रायता हूँ, ब्रिज के पास वाला एरिये।",main marathahalli mein rehta hoon bridge ke paas wala area,maim ina maratahali mem rayata hu n brija ke pasa vala eriye|,2.666,1.1,0.39655172413793105,1.0
Jayanagar-noisy,whisper,self,noisy,Jayanagar,jayanagar mein flat dhundh raha hoon koi option hai kya,"जयनागर में फ्लाज दून रहा हूँ, कोई आप्शन है क्या?",jayanagar mein flat dhundh raha hoon koi option hai kya,jayanagara mem phlaja duna raha hu n koi apshana hai kya,2.722,0.7,0.3090909090909091,1.0
Rajajinagar-noisy,whisper,self,noisy,Rajajinagar,bhai rajajinagar se majestic kitna time lagta hai,बई राजाजी नगर से मैजस्टी कितना टाइम लागता है,bhai rajajinagar se majestic kitna time lagta hai,bai rajaji nagara se maijasti kitana taima lagata hai,2.532,0.875,0.20408163265306123,1.0
Hebbal-noisy,whisper,self,noisy,Hebbal,main hebbal flyover ke paas hoon abhi traffic mein hoon,"मैं इन हेबल प्लायोर के पास हूँ अभी, ट्राफिक में हूँ",main hebbal flyover ke paas hoon abhi traffic mein hoon,maim ina hebala playora ke pasa hu n abhi traphika mem hu n,2.69,1.1,0.41818181818181815,1.0
yelahanka-noisy,whisper,self,noisy,Yelahanka,yelahanka new town mein ek room chahiye budget kam hai,"एलाहन का न्यू टाउन में नेक रूम चाही है, बज़ेट काम है",yelahanka new town mein ek room chahiye budget kam hai,elahana ka nyu tauna mem neka ruma chahi hai bazeta kama hai,2.725,1.1,0.4444444444444444,1.0
banashankari-noisy,whisper,self,noisy,Banashankari,banashankari mein rehti hoon temple ke paas wala area,बनाशंगरी में रहते होन टेंपल के पास वाला एरिया,banashankari mein rehti hoon temple ke paas wala area,banashamgari mem rahate hona tempala ke pasa vala eriya,2.46,0.8888888888888888,0.32075471698113206,1.0
hsrlayout-rushed,whisper,self,rushed,HSR Layout,hsr layout second sector mein hoon jaldi batao,अरे अरे अरे अरे एचेसर ले और सेकिन सेक्टर में हो जल्डी जल्डी बाटो,hsr layout second sector mein hoon jaldi batao,are are are are echesara le aura sekina sektara mem ho jaldi jaldi bato,23.061,1.625,0.8913043478260869,1.0
btmlayout-rushed,whisper,self,rushed,BTM Layout,btm layout se silk board kitna door hai bhai jaldi,बीटीम लेवर के सिल्ग बोर्ड कितना डोर है बाई जलती,btm layout se silk board kitna door hai bhai jaldi,bitima levara ke silga borda kitana dora hai bai jalati,2.53,0.9,0.38,1.0
majestic-rushed,whisper,self,rushed,Majestic,majestic bus stand pe hoon bus nikal jaayegi,"यूजडिक बस्टेन पे हो हम, बस निकल जाईगे",majestic bus stand pe hoon bus nikal jaayegi,yujadika bastena pe ho hama basa nikala jaige,2.242,1.0,0.5454545454545454,0.0
silkboard-rushed,whisper,self,rushed,Silk Board,silk board junction pe jam hai late ho raha hoon,"सिल्बोर जंक्षन पे जाम है, लेट हो रहा न हो",silk board junction pe jam hai late ho raha hoon,silbora jamkshana pe jama hai leta ho raha na ho,2.244,0.7,0.3958333333333333,1.0
bellandur-rushed,whisper,self,rushed,Bellandur,bellandur mein hoon cab book karo jaldi please,बेलंदर में होन्ड क्या बुक कर दो चल्दी प्लीज प्लीज प्लीज प्लीज प्लीज प्लीज,bellandur mein hoon cab book karo jaldi please,belamdara mem honda kya buka kara do chaldi plija plija plija plija plija plija,3.883,1.75,1.1304347826086956,1.0
sarjapur-whisper,whisper,self,whisper,Sarjapur,sarjapur road pe ek pg dhundh raha hoon affordable chahiye,"सरजाबूर रोड पी एक पीजे दुन रहा हूँ, अफोडबल चाहिए।",sarjapur road pe ek pg dhundh raha hoon affordable chahiye,sarajabura roda pi eka pije duna raha hu n aphodabala chahie|,3.12,1.0,0.3793103448275862,1.0
bommanahalli-whisper,whisper,self,whisper,Bommanahalli,bommanahalli mein rehta hoon kaam ke liye apply karna tha,"मुमा एलिमेन रहता हूँ, काम के लिए अप्लेई करना था।",bommanahalli mein rehta hoon kaam ke liye apply karna tha,muma elimena rahata hu n kama ke lie aplei karana tha|,2.668,1.0,0.40350877192982454,0.0
krpuram-whisper,whisper,self,whisper,KR Puram,kr puram station ke paas hoon koi job hai kya paas mein,"केपी भूम स्टेशन के पास हूँ, कोई जाव है इके अपास में",kr puram station ke paas hoon koi job hai kya paas mein,kepi bhuma steshana ke pasa hu n koi java hai ike apasa mem,2.748,0.8333333333333334,0.4909090909090909,0.0
peenya-whisper,whisper,self,whisper,Peenya,peenya industrial area mein supervisor ka kaam chahiye,पिन या इंटरेस्ट्रिल एरिया में सुपरवेजर का क्याम चाहिए?,peenya industrial area mein supervisor ka kaam chahiye,pina ya imtarestrila eriya mem suparavejara ka kyama chahie,2.962,1.0,0.46296296296296297,1.0
yeshwanthpur-whisper,whisper,self,whisper,Yeshwanthpur,yeshwanthpur se koi factory job milegi kya experience hai,यह श्रुन्तपूर्ज एक विफाक्री जाओ में लिंगे क्या एक्स्पिरियंस है?,yeshwanthpur se koi factory job milegi kya experience hai,yaha shruntapurja eka viphakri jao mem limge kya ekspiriyamsa hai,3.453,0.8888888888888888,0.631578947368421,0.0
01-04397-02,whisper,gramvaani,telephony,N/A,बेईमानी और भ्रस्टाचारी की वजह से जनप्रतिनिधि अधिकारी व बिचौलिए माला माल हो रहे हैं,देमानी और भ्रताचारी की वज़न से जर्ण पतिनी भी अधिकारी वो विचोईय माला माल हो रहे हैं।,beimani aura bhrastachari ki vajaha se janapratinidhi adhikari va bichaulie mala mala ho rahe haim,demani aura bhratachari ki vazana se jarna patini bhi adhikari vo vichoiya mala mala ho rahe haim|,4.115,0.6,0.1836734693877551,
01-01025-03,whisper,gramvaani,telephony,N/A,कि बच्चे लेने वालों की संख्या अब समय आ गया है इन बच्चों का जिम्मा सरकार ले और गर्भपात पर रोक लगा दे कौन जनता है,कि बच्चे लेने वालों की संख्या में अब समय आ गया है कि इन बच्चों का जिमा सरकार ले और गर्पात पर रूख लगा देते कौन जानता है,ki bachche lene valom ki samkhya aba samaya a gaya hai ina bachchom ka jimma sarakara le aura garbhapata para roka laga de kauna janata hai,ki bachche lene valom ki samkhya mem aba samaya a gaya hai ki ina bachchom ka jima sarakara le aura garpata para rukha laga dete kauna janata hai,5.677,0.23076923076923078,0.1079136690647482,
01-09868-01,whisper,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं मैं श्वेता बिहार मोबाइल वाणी पर पेश करती हूँ शाम की सुर्खियाँ मानसून की बारिश से पानी,नमस्कार आदाप शोताओं मैं श्वेता बिहर मोबाइल वानी पर पेश करती हूँ शाम की सुर्खिया मानसुन की बारिज से पानी पड़ जाती है,namaskara adaba shrotaom maim shveta bihara mobaila vani para pesha karati hu n shama ki surkhiya n manasuna ki barisha se pani,namaskara adapa shotaom maim shveta bihara mobaila vani para pesha karati hu n shama ki surkhiya manasuna ki barija se pani pa da jati hai,5.609,0.36363636363636365,0.16535433070866143,
01-08600-03,whisper,gramvaani,telephony,N/A,लगाने का विकल्प मिल सकता है श्रम मंत्रालय निवेश पर मौजूदा कैप को हटाने के लिए नीति बना रहा है ऐसा होने पर पीएफ खाता धारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,लगाने का विकल्प मिल सकता है श्रममंत्रालय निवेश्वर मौजूदा कैप को हटाने के लिए निति बना रहा है ऐसा होने पर पीएप खाताधारकों को ज्यादा रिटर्न पाने का मौका मिल सकता है,lagane ka vikalpa mila sakata hai shrama mamtralaya nivesha para maujuda kaipa ko hatane ke lie niti bana raha hai aisa hone para piepha khata dharakom ko jyada ritarna pane ka mauka mila sakata hai,lagane ka vikalpa mila sakata hai shramamamtralaya niveshvara maujuda kaipa ko hatane ke lie niti bana raha hai aisa hone para piepa khatadharakom ko jyada ritarna pane ka mauka mila sakata hai,7.569,0.2,0.030303030303030304,
01-07995-03,whisper,gramvaani,telephony,N/A,मदिरा नशा जैसी सामाजिक बुराई ने आज हमारे समाज एंव राष्ट्र को एक बड़ी शराब ना केवल लाखों हँसते खेलते परिवारों को रोने पर मजबूर कर दिया,मदूरा अम्यशान के सिस्माचित दुआई ने हाल खमार घमार रमदार्थ को एक बरी फराबला के रलाकों ख़ित के पिदारों को रोने पर मल्बूर तहतिया,madira nasha jaisi samajika burai ne aja hamare samaja emva rashtra ko eka ba di sharaba na kevala lakhom ha nsate khelate parivarom ko rone para majabura kara diya,madura amyashana ke sismachita duai ne hala khamara ghamara ramadartha ko eka bari pharabala ke ralakom kita ke pidarom ko rone para malbura tahatiya,6.039,0.7931034482758621,0.3780487804878049,
01-05263-01,whisper,gramvaani,telephony,N/A,में रहता है आजकल तो लड़की वाले दहेज़ के अलावा लड़की के लड़की के लिए दस से बीस हज़ार,आज कल तो लर्की वाले जैवेज शालावास लर्की के लिए दर्प लिस्वर चमूचा रहा है।,mem rahata hai ajakala to la daki vale daheza ke alava la daki ke la daki ke lie dasa se bisa hazara,aja kala to larki vale jaiveja shalavasa larki ke lie darpa lisvara chamucha raha hai|,3.912,0.8636363636363636,0.53,
01-03411-01,whisper,gramvaani,telephony,N/A,राजू तिवारी आलोक कुमार के अलावे कई लोग उपस्थित थे इसी के साथ मैं शिवनारायण रिपोर्टर बोकारो मोबाइल मीडिया जरीडीह बोकारो से,राजु तिवारी आलोप कुमार के अलागे कई लोग उपस्थित चे इसी के साथ मैं स्रीम नरायन विपोधर बोकारो मोबाइल मेडिया जेरिटी बोकारो चे,raju tivari aloka kumara ke alave kai loga upasthita the isi ke satha maim shivanarayana riportara bokaro mobaila midiya jaridiha bokaro se,raju tivari alopa kumara ke alage kai loga upasthita che isi ke satha maim srima narayana vipodhara bokaro mobaila mediya jeriti bokaro che,6.131,0.4090909090909091,0.11510791366906475,
02-16304-01,whisper,gramvaani,telephony,N/A,आज देखा जा रहा है की हमारे धान के खेत धान मरने की स्थिति में हो गए थी थी आज इस नए झारखण्ड में हमारी बारिश होने का,आज देखा जा रहा है कि हमारे धान के खेट धान मरने की सिती में हो गई थी आज एक नुनई जासन में हमारी बारिस पुनेशा,aja dekha ja raha hai ki hamare dhana ke kheta dhana marane ki sthiti mem ho gae thi thi aja isa nae jharakhanda mem hamari barisha hone ka,aja dekha ja raha hai ki hamare dhana ke kheta dhana marane ki siti mem ho gai thi aja eka nunai jasana mem hamari barisa punesha,5.083,0.32142857142857145,0.15827338129496402,
01-00703-03,whisper,gramvaani,telephony,N/A,गठित की है और जाँच चल रही है बावजूद की कोयला का अवैध उत्खनन एवं तस्करी बद्कसूर जारी है सीसीएल ढोरी प्रक्षेत्र के तारणी परियोजना स्थित,गजित की है और जात चल रही है बावजूर भी कोईला का वेद उठखाने में वो तस्तरी बद्धसूत जा रही है सिशल की धोई पर्चेत्र के तारवी परजिना इस्तित,gathita ki hai aura ja ncha chala rahi hai bavajuda ki koyala ka avaidha utkhanana evam taskari badkasura jari hai sisiela dhori prakshetra ke tarani pariyojana sthita,gajita ki hai aura jata chala rahi hai bavajura bhi koila ka veda uthakhane mem vo tastari baddhasuta ja rahi hai sishala ki dhoi parchetra ke taravi parajina istita,6.564,0.7777777777777778,0.281437125748503,
01-00666-01,whisper,gramvaani,telephony,N/A,प्रतिभागियों को दिया मौके पर दर्जनों सदस्यों ने भाग लिया एवं प्रति पर अपने विचार लिखित रूप से जमा किया मैं राधू राय महुदा धनबाद से,"प्रति भाग लिया को दिया, मौके पर दर्जेनों सदैश्यों ने भाग लिया एबं पर्ति पर अपने विचार लिखित रूप से जिमा किया, तैस्वे मिरादुराई, मौराधनबाद से धन्यवाद.",pratibhagiyom ko diya mauke para darjanom sadasyom ne bhaga liya evam prati para apane vichara likhita rupa se jama kiya maim radhu raya mahuda dhanabada se,prati bhaga liya ko diya mauke para darjenom sadaishyom ne bhaga liya ebam parti para apane vichara likhita rupa se jima kiya taisve miradurai mauradhanabada se dhanyavada,7.372,0.5384615384615384,0.23717948717948717,
01-01992-01,whisper,gramvaani,telephony,N/A,करोड़ों रुपया में मिला हुआ है वैसे भी किसी बच्ची के नाम पर दस हजार बीस हजार पच्चीस हजार तीस हजार रुपया तक बाकया हो जाता है,रुपया में जा हुआ है इसे कि इसी बद्धी का नाम पर सब्सक्राइब कर दो,karo dom rupaya mem mila hua hai vaise bhi kisi bachchi ke nama para dasa hajara bisa hajara pachchisa hajara tisa hajara rupaya taka bakaya ho jata hai,rupaya mem ja hua hai ise ki isi baddhi ka nama para sabsakraiba kara do,3.275,0.7857142857142857,0.5855263157894737,
01-04281-03,whisper,gramvaani,telephony,N/A,कोई विश्वासनीय खाका है जिसको आप जानते हैं हैं बिहार मोबाइल वाणी के लिए खजौली मधुबनी से रामाशीष सिंह धन्यवाद,कोई विश्वसी है खाका? है जिसको आप जानते हैं? है विहार मोबाल वानी पिले खड़ोली मरवनी के रामात पित्री मनवर,koi vishvasaniya khaka hai jisako apa janate haim haim bihara mobaila vani ke lie khajauli madhubani se ramashisha simha dhanyavada,koi vishvasi hai khaka hai jisako apa janate haim hai vihara mobala vani pile kha doli maravani ke ramata pitri manavara,4.953,0.65,0.25190839694656486,
01-04493-02,whisper,gramvaani,telephony,N/A,नमस्कार मधुबनी मोबाइल वाणी के लिए मैं मधवापुर साहरघाट से राजकिशोर यादव मधवापुर प्रखंड के बलवा गाँव में ग्यारह हजार तार पुपरी की ओर जाने वाली सड़क पर आज सुबह गिर गया है ग्यारह हजार तार गिर जाने से,"अमस्कार मद्दुबानी मुभानवानी के लिए मन्दबापूर तारगार के राज की सोड़ागा मन्दबापूर तरकन के बलबा जाओंगी 11,000 तार उपरी चरोर जाने वाली तरक पर आज शुभा गिर रहा है 11,000 तार गिर रहा है से",namaskara madhubani mobaila vani ke lie maim madhavapura saharaghata se rajakishora yadava madhavapura prakhamda ke balava ga nva mem gyaraha hajara tara pupari ki ora jane vali sa daka para aja subaha gira gaya hai gyaraha hajara tara gira jane se,amaskara maddubani mubhanavani ke lie mandabapura taragara ke raja ki so daga mandabapura tarakana ke balaba jaomgi 11 000 tara upari charora jane vali taraka para aja shubha gira raha hai 11 000 tara gira raha hai se,8.824,0.7317073170731707,0.3548387096774194,
01-08776-01,whisper,gramvaani,telephony,N/A,इस कार्य में काफ़ी संघर्ष का सामना करना पड़ा अब उन्होंने अर्पण नेचर सवेर ग्रुप बनाकर झी झील की दुबारा खूबसूरती लाने का भरसक प्रयास कर रहे हैं,इस कार्ज में कापिस संगर्ष का सामना करना पड़ा। अब उन्होंने अर्पन नेचर सेवर गुरूप बना कर जील की दुबारा खुशूर्ती लाने का वर्षक परियास कर रहे हैं।,isa karya mem kafi samgharsha ka samana karana pa da aba unhomne arpana nechara savera grupa banakara jhi jhila ki dubara khubasurati lane ka bharasaka prayasa kara rahe haim,isa karja mem kapisa samgarsha ka samana karana pa da| aba unhomne arpana nechara sevara gurupa bana kara jila ki dubara khushurti lane ka varshaka pariyasa kara rahe haim|,7.016,0.4482758620689655,0.14942528735632185,
01-10651-02,whisper,gramvaani,telephony,N/A,की वजह से जनता को परेशान होना पड़ेगा पुलिस मुख्यालय की पहल को नया नंबर अलोट करने का निर्णय लिया,की वज़र से जनता को परिशान होना पड़ेगा पुलिस मुख्याले की पहल को नया नंबर अलोट करने का निर्णय लिया,ki vajaha se janata ko pareshana hona pa dega pulisa mukhyalaya ki pahala ko naya nambara alota karane ka nirnaya liya,ki vazara se janata ko parishana hona pa dega pulisa mukhyale ki pahala ko naya nambara alota karane ka nirnaya liya,4.842,0.14285714285714285,0.05084745762711865,
01-00622-03,whisper,gramvaani,telephony,N/A,जो भी है पहले का पंचायत भवन पुराना टुटल फुटल उसमें हमलोग बैठक चलाते हैं तो उसमे बरसात के सीजन में पानी घुस जाता है और धँसने वाला भी है है कहीं बैठक के समय धँस गया तो फिर लोगों की,जो भी है पहले कब पंचेत बवन पुरा ना चुटल चुटल उसमें हम लोग बैटिक चलाते हैं तो उसमें बच्चा का सिजे में पानी गुप जाता है और दस नहीं कहवाला भी है तो यह बैटे समय दस जाएगा तो फिर लोगों की,jo bhi hai pahale ka pamchayata bhavana purana tutala phutala usamem hamaloga baithaka chalate haim to usame barasata ke sijana mem pani ghusa jata hai aura dha nsane vala bhi hai hai kahim baithaka ke samaya dha nsa gaya to phira logom ki,jo bhi hai pahale kaba pamcheta bavana pura na chutala chutala usamem hama loga baitika chalate haim to usamem bachcha ka sije mem pani gupa jata hai aura dasa nahim kahavala bhi hai to yaha baite samaya dasa jaega to phira logom ki,8.641,0.5813953488372093,0.2217573221757322,
01-10039-03,whisper,gramvaani,telephony,N/A,ये खुल गया प्राइस बैंड चार सौ अठारह से चार सौ बाईस रूपए और मिनिमम लोट साइज़ इज़ पैंतीस शेयर रखा गया है आई पी ओ दस अगस्ट तक खुला रहेगा,लिए खुल गया प्राइस बैंक 418 से 422 रुपए और मिनिमम लॉट साइज 35 शेयर रखा गया है आईपीओ 10 अगस्त तक खुला रहेगा,ye khula gaya praisa baimda chara sau atharaha se chara sau baisa rupae aura minimama lota saiza iza paimtisa sheyara rakha gaya hai ai pi o dasa agasta taka khula rahega,lie khula gaya praisa baimka 418 se 422 rupae aura minimama laॉta saija 35 sheyara rakha gaya hai aipio 10 agasta taka khula rahega,5.302,0.5161290322580645,0.3352941176470588,
01-03999-01,whisper,gramvaani,telephony,N/A,की सर्विस लगा पर रोक लगा कर रख दिया गया है पैदल चलने वाले यात्रियों को बहुत दिक्कत होती हैं साथ ही दो पहिये वाहन तथा चार पहिये वाहन के गुजरने में भारी दिक्कतें होती है,"प्रश्निक रुपट लगाकर रख दिया गया है पाइटल चलने वाले याथ्रियों को भी दिक्कते होती है जाथी तो पहिये वहान, पचा चार पहिये वहान के पच जर्मे में आरी दिक्कते होती है",ki sarvisa laga para roka laga kara rakha diya gaya hai paidala chalane vale yatriyom ko bahuta dikkata hoti haim satha hi do pahiye vahana tatha chara pahiye vahana ke gujarane mem bhari dikkatem hoti hai,prashnika rupata lagakara rakha diya gaya hai paitala chalane vale yathriyom ko bhi dikkate hoti hai jathi to pahiye vahana pacha chara pahiye vahana ke pacha jarme mem ari dikkate hoti hai,17.384,0.5555555555555556,0.21951219512195122,
02-12587-02,whisper,gramvaani,telephony,N/A,से जिससे हमारा जीवन प्रभावित होती है होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाज़िर है आपके सामने,जिससे हमारा जीवन प्रभावित होती है और आज भी हम एक ऐसे ही मुद्दे के साथ हाजिर हैं आपके सामने,se jisase hamara jivana prabhavita hoti hai hoti hai aura aja bhi hama eka aise hi mudde ke satha hazira hai apake samane,jisase hamara jivana prabhavita hoti hai aura aja bhi hama eka aise hi mudde ke satha hajira haim apake samane,4.369,0.21739130434782608,0.11570247933884298,
01-11496-02,whisper,gramvaani,telephony,N/A,अंत में समाचार खेल जगत से एशियाई खेल अंकिता के कांस्य के बाद भारत,पर उसमें समझार खेल जगत से इस याएं खेल अंकीता के कांशे के बाद भारत,amta mem samachara khela jagata se eshiyai khela amkita ke kamsya ke bada bharata,para usamem samajhara khela jagata se isa yaem khela amkita ke kamshe ke bada bharata,23.005,0.42857142857142855,0.1728395061728395,
02-12399-02,whisper,gramvaani,telephony,N/A,नमस्कार आदाब श्रोताओं देश के कौन कौन से किसान मज़दूर यूनियन काफ़ी संख्या में इकठ्ठा होकर सरकार से अपनी माँगों को लेकर दिल्ली के पार्लियामेंट स्ट्रीट में धरना,"नमस्कार, आदाब सरोता हूँ, देश के कौन-कौन से किसान मजदूर यूनियन, काफी संक्या में इगठा होकर सरकार से अपनी मांगो को लेकर, दिल्ली के पारलिया में टिस्टेट में धरना पर पादेंगे,",namaskara adaba shrotaom desha ke kauna kauna se kisana mazadura yuniyana kafi samkhya mem ikaththa hokara sarakara se apani ma ngom ko lekara dilli ke parliyamemta strita mem dharana,namaskara adaba sarota hu n desha ke kauna kauna se kisana majadura yuniyana kaphi samkya mem igatha hokara sarakara se apani mamgo ko lekara dilli ke paraliya mem tisteta mem dharana para pademge,37.656,0.4827586206896552,0.19672131147540983,
01-09796-02,whisper,gramvaani,telephony,N/A,का एलान भारत और इंग्लैंड के बीच नौ अगस्त से लॉर्ड्स में खेले जाने वाले वाले दूसरे टेस्ट मैच के लिए गयी है एक वेस्टर्न टेस्ट में इंग्लैंड ने भारत को इकतीस रन,विश्वाद का एलान भारत व इंग्लैंड के बीचनाओं गच्च लॉट में खेले जाने वाले वाले दूसरे टेस्ट में के लिए में दिगई है एडवेस्टन टेस्ट में इंग्लैंड ने भारत को एक दिसरांत,ka elana bharata aura imglaimda ke bicha nau agasta se laॉrdsa mem khele jane vale vale dusare testa maicha ke lie gayi hai eka vestarna testa mem imglaimda ne bharata ko ikatisa rana,vishvada ka elana bharata va imglaimda ke bichanaom gachcha laॉta mem khele jane vale vale dusare testa mem ke lie mem digai hai edavestana testa mem imglaimda ne bharata ko eka disaramta,7.998,0.42424242424242425,0.25136612021857924,
01-07562-01,whisper,gramvaani,telephony,N/A,आवश्यक है है किन्तु नियोजित शिक्षको की मामले में न्यूनतम वेतन अठारह हजार लागू नहीं किया गया है जिसके लिए,"अवस्थक है, लेकिन नियोजित सिच्छकों की मामली में नियोंतम वेतन अथ्थारा हजार लागू नहीं किया गया है, जिसके लिए",avashyaka hai hai kintu niyojita shikshako ki mamale mem nyunatama vetana atharaha hajara lagu nahim kiya gaya hai jisake lie,avasthaka hai lekina niyojita sichchakom ki mamali mem niyomtama vetana aththara hajara lagu nahim kiya gaya hai jisake lie,5.092,0.35,0.168,
01-04320-03,whisper,gramvaani,telephony,N/A,मुंगेर नगर निगम की बदहाली व्यवस्था के कारण शहर वासियों को शुद्ध पेय जल नहीं मिल रहा है नगर निगम के साथ संचालित कस्तुरबा वॉटर वर्क्स,मुंज़ नगर निगम की बदहाली बवस्था के कारण सहारबास्थों को सुद पेजल नहीं मिल रहा है नगर निगम के कारण 47 वाटर वर्ग से,mumgera nagara nigama ki badahali vyavastha ke karana shahara vasiyom ko shuddha peya jala nahim mila raha hai nagara nigama ke satha samchalita kasturaba vaॉtara varksa,mumza nagara nigama ki badahali bavastha ke karana saharabasthom ko suda pejala nahim mila raha hai nagara nigama ke karana 47 vatara varga se,5.63,0.46153846153846156,0.25443786982248523,
01-08017-03,whisper,gramvaani,telephony,N/A,के बेहतरीन महिला को एक पारदर्शी महिला को पंचायत में इनका आ आरक्षण मिले और उसका विकास हो आने वाले दिन में,और तेहत्री महला को एक पादर्शी महला को पंचात में इसका आश्रम ले और इसका अधिकात हो।,ke behatarina mahila ko eka paradarshi mahila ko pamchayata mem inaka a arakshana mile aura usaka vikasa ho ane vale dina mem,aura tehatri mahala ko eka padarshi mahala ko pamchata mem isaka ashrama le aura isaka adhikata ho|,3.94,0.7727272727272727,0.376,
01-10457-02,whisper,gramvaani,telephony,N/A,इस देश के कई भाग से हैं जहाँ सिंचाई सुविधा के आभाव मैं बारिश पर निर्भर रहते हैं अगर बारिश समय पर नहीं हुए तो सारा फसल बर्बाद अब ऐसे मैं किसान करे तो क्या करे,इस देश के कई भाग ऐसे हैं जहां अधिकान सिचाय सुविधा के अभाव में खेली बारिस पर निर्भर रहते हैं और अगर बारिस समय पर नहीं हुई तो सारा फसल बरबाद अब ऐसे में किसान करे तो क्या करे,isa desha ke kai bhaga se haim jaha n simchai suvidha ke abhava maim barisha para nirbhara rahate haim agara barisha samaya para nahim hue to sara phasala barbada aba aise maim kisana kare to kya kare,isa desha ke kai bhaga aise haim jaham adhikana sichaya suvidha ke abhava mem kheli barisa para nirbhara rahate haim aura agara barisa samaya para nahim hui to sara phasala barabada aba aise mem kisana kare to kya kare,8.045,0.32432432432432434,0.16,
02-14905-01,whisper,gramvaani,telephony,N/A,श्री पावन भगत अशोक केसरी पवन केसरी विजय मिश्रा उदय लाहाकर प्रवीन मिश्रा मंटू भगत सहित गणेश मंदिर समिति के सभी सदस्य मौजुद वही बताते चले की मोबाइल वाणी के द्वारा ही,पवन भगत आशोक केशरी पवन केशरी मिजय मिश्रा उदय लाकार परविन मिश्रा मंतु भगत सहित गनिश मंद्र समिति के सभी सदस्य मदुष वहीं बताते चले कि मोबाइल वानी के द्वारा ही,shri pavana bhagata ashoka kesari pavana kesari vijaya mishra udaya lahakara pravina mishra mamtu bhagata sahita ganesha mamdira samiti ke sabhi sadasya maujuda vahi batate chale ki mobaila vani ke dvara hi,pavana bhagata ashoka keshari pavana keshari mijaya mishra udaya lakara paravina mishra mamtu bhagata sahita ganisha mamdra samiti ke sabhi sadasya madusha vahim batate chale ki mobaila vani ke dvara hi,7.516,0.3125,0.08737864077669903,
02-17467-01,whisper,gramvaani,telephony,N/A,मोबाइल वाणी के बेहद लोकप्रिय और ख़ास कार्यक्रम खबरें जरा हट के में आपका स्वागत है,मोबाइल वानी के बिहत दुख प्रिये और खास कारिकरम खबरे जरा हटके में आपका स्वागत है,mobaila vani ke behada lokapriya aura kasa karyakrama khabarem jara hata ke mem apaka svagata hai,mobaila vani ke bihata dukha priye aura khasa karikarama khabare jara hatake mem apaka svagata hai,3.92,0.5,0.13402061855670103,
01-00097-03,whisper,gramvaani,telephony,N/A,इस मध्य प्रदेश मोबाइल वाणी के सभी सुनने वाले श्रोताओं को और मेरे मित्रों को सभी को हार्दिक हार्दिक शुभकामनाएं धन्यवाद नमस्कार,इस मंद प्रदेश मुझे बाद के सली सुनने वाले सुरुताओं को और मेरे मित्रों को तभी को हार्षिक हार्षिक सुप्ताओं ले धन्यवाद नवस्कार,isa madhya pradesha mobaila vani ke sabhi sunane vale shrotaom ko aura mere mitrom ko sabhi ko hardika hardika shubhakamanaem dhanyavada namaskara,isa mamda pradesha mujhe bada ke sali sunane vale surutaom ko aura mere mitrom ko tabhi ko harshika harshika suptaom le dhanyavada navaskara,5.907,0.5,0.21232876712328766,
